Product ID,Product Name,Date,Online Store Location,Sales Quantity,Selling Price,Promotions,Demand Trend,Customer Segments,Warehouse Location,Stock Levels,Stockout Frequency,Reorder Point,Order Fulfillment Time (days),Retail Store Location,Market Price,Competitor Prices,Discounts,Sales Volume,Return Rate (%),Elasticity Index,Category_Electronics,Category_Fashion,Category_Furniture,Category_Groceries,Category_Home Appliances
3900,Laptop,2024-05-13,Mumbai,434,31.01,1,1,2,Ahmedabad,211,6,153,2,Delhi,98.5,86.36,44.84,34,12.41,0.87,True,False,False,False,False
6894,Fan,2024-04-01,Ahmedabad,29,27.17,1,1,0,Pune,563,0,154,4,Bangalore,33.67,78.4,33.67,305,5.48,2.21,False,False,False,False,True
6894,Fan,2024-04-01,Ahmedabad,29,27.17,1,1,0,Pune,563,0,154,4,Chennai,72.31,34.98,41.76,320,12.22,1.18,False,False,False,False,True
6894,Fan,2024-04-01,Ahmedabad,29,27.17,1,1,0,Hyderabad,913,18,23,5,Bangalore,33.67,78.4,33.67,305,5.48,2.21,False,False,False,False,True
6894,Fan,2024-04-01,Ahmedabad,29,27.17,1,1,0,Hyderabad,913,18,23,5,Chennai,72.31,34.98,41.76,320,12.22,1.18,False,False,False,False,True
6894,Fan,2024-04-01,Ahmedabad,29,27.17,1,1,0,Pune,336,18,49,4,Bangalore,33.67,78.4,33.67,305,5.48,2.21,False,False,False,False,True
6894,Fan,2024-04-01,Ahmedabad,29,27.17,1,1,0,Pune,336,18,49,4,Chennai,72.31,34.98,41.76,320,12.22,1.18,False,False,False,False,True
7767,Keyboard,2024-07-06,Pune,397,7.35,1,2,0,Ahmedabad,132,12,38,11,Chennai,7.35,60.1,7.35,397,11.19,0.74,True,False,False,False,False
7767,Keyboard,2024-07-06,Pune,397,7.35,1,2,0,Hyderabad,338,11,57,9,Chennai,7.35,60.1,7.35,397,11.19,0.74,True,False,False,False,False
9817,Monitor,2024-05-10,Kolkata,467,41.63,1,1,0,Mumbai,442,19,40,14,Ahmedabad,41.63,83.93,38.09,13,15.58,1.92,True,False,False,False,False
9817,Monitor,2024-05-10,Kolkata,467,41.63,1,1,0,Bangalore,893,16,56,12,Ahmedabad,41.63,83.93,38.09,13,15.58,1.92,True,False,False,False,False
1206,Sofa,2024-03-09,Hyderabad,322,36.76,0,1,1,Ahmedabad,686,1,182,7,Bangalore,55.25,8.2,32.25,497,4.21,2.31,False,False,True,False,False
6410,T-Shirt,2024-12-24,Kolkata,381,6.85,1,2,0,Ahmedabad,152,16,138,3,Bangalore,6.85,14.05,6.85,348,9.62,1.61,False,True,False,False,False
6410,T-Shirt,2024-12-24,Kolkata,381,30.98,1,2,0,Ahmedabad,152,16,138,3,Hyderabad,30.98,50.09,22.22,268,11.88,1.57,False,True,False,False,False
6410,T-Shirt,2024-12-24,Kolkata,381,6.85,1,2,0,Bangalore,98,19,51,9,Bangalore,6.85,14.05,6.85,348,9.62,1.61,False,True,False,False,False
6410,T-Shirt,2024-12-24,Kolkata,381,30.98,1,2,0,Bangalore,98,19,51,9,Hyderabad,30.98,50.09,22.22,268,11.88,1.57,False,True,False,False,False
6410,T-Shirt,2024-12-24,Kolkata,381,6.85,1,2,0,Ahmedabad,22,12,22,9,Bangalore,6.85,14.05,6.85,348,9.62,1.61,False,True,False,False,False
6410,T-Shirt,2024-12-24,Kolkata,381,30.98,1,2,0,Ahmedabad,22,12,22,9,Hyderabad,30.98,50.09,22.22,268,11.88,1.57,False,True,False,False,False
6410,T-Shirt,2024-12-24,Kolkata,381,6.85,1,2,0,Hyderabad,331,0,35,14,Bangalore,6.85,14.05,6.85,348,9.62,1.61,False,True,False,False,False
6410,T-Shirt,2024-12-24,Kolkata,381,30.98,1,2,0,Hyderabad,331,0,35,14,Hyderabad,30.98,50.09,22.22,268,11.88,1.57,False,True,False,False,False
9964,Monitor,2024-12-09,Kolkata,252,58.53,1,1,1,Mumbai,307,5,28,9,Chennai,58.53,31.78,44.8,32,4.68,2.49,True,False,False,False,False
9964,Monitor,2024-12-09,Kolkata,252,43.25,1,1,1,Mumbai,307,5,28,9,Hyderabad,43.25,17.91,20.44,118,6.67,1.99,True,False,False,False,False
2288,Desk,2024-11-29,Ahmedabad,140,11.61,1,1,2,Hyderabad,649,2,15,13,Hyderabad,11.61,43.77,3.23,58,2.25,2.48,False,False,True,False,False
5324,Rice,2024-05-18,Hyderabad,71,65.86,0,0,0,Hyderabad,99,6,99,8,Kolkata,65.86,72.01,2.67,32,12.72,2.43,False,False,False,True,False
5324,Rice,2024-05-18,Hyderabad,71,12.0,0,0,0,Hyderabad,99,6,99,8,Bangalore,12.0,93.84,12.0,218,16.88,1.87,False,False,False,True,False
6592,Snacks,2024-08-23,Delhi,378,89.31,0,2,2,Chennai,686,11,152,8,Ahmedabad,89.31,21.96,22.27,246,4.66,1.4,False,False,False,True,False
6592,Snacks,2024-08-23,Delhi,378,67.88,0,2,2,Chennai,686,11,152,8,Hyderabad,67.88,64.97,31.85,194,0.16,0.95,False,False,False,True,False
8498,Fan,2024-01-22,Chennai,273,19.82,0,2,2,Hyderabad,546,17,143,5,Bangalore,52.51,68.98,4.18,35,2.05,1.21,False,False,False,False,True
2338,Laptop,2024-07-31,Delhi,230,39.7,1,2,1,Mumbai,789,0,132,3,Ahmedabad,39.7,64.96,10.32,346,12.99,1.32,True,False,False,False,False
8532,Mixer,2024-09-01,Pune,2,64.33,0,2,2,Ahmedabad,529,5,10,3,Chennai,64.33,96.93,38.76,448,6.12,0.99,False,False,False,False,True
8532,Mixer,2024-09-01,Pune,2,64.33,0,2,2,Kolkata,393,7,27,6,Chennai,64.33,96.93,38.76,448,6.12,0.99,False,False,False,False,True
6335,Sneakers,2024-03-17,Hyderabad,158,29.89,1,0,1,Ahmedabad,986,6,163,4,Bangalore,29.89,59.16,29.89,168,4.59,1.34,False,True,False,False,False
6335,Sneakers,2024-03-17,Hyderabad,158,29.89,1,0,1,Hyderabad,488,10,56,1,Bangalore,29.89,59.16,29.89,168,4.59,1.34,False,True,False,False,False
6335,Sneakers,2024-03-17,Hyderabad,158,29.89,1,0,1,Bangalore,195,1,150,14,Bangalore,29.89,59.16,29.89,168,4.59,1.34,False,True,False,False,False
4783,Fan,2024-02-26,Hyderabad,215,40.61,0,0,2,Bangalore,680,11,14,6,Hyderabad,40.61,35.99,0.91,146,5.89,1.19,False,False,False,False,True
6985,Milk,2024-08-27,Ahmedabad,455,7.55,1,0,2,Chennai,806,2,186,10,Chennai,67.32,90.84,32.21,251,10.52,1.96,False,False,False,True,False
6985,Milk,2024-08-27,Ahmedabad,455,7.55,1,0,2,Chennai,806,2,186,10,Ahmedabad,71.11,78.16,20.0,413,9.26,2.21,False,False,False,True,False
6985,Milk,2024-08-27,Ahmedabad,455,7.55,1,0,2,Chennai,806,2,186,10,Hyderabad,96.8,57.38,18.6,295,4.0,1.26,False,False,False,True,False
6739,Hoodie,2024-06-14,Delhi,317,12.65,0,1,1,Bangalore,905,2,88,2,Pune,89.01,98.97,44.05,195,3.07,0.87,False,True,False,False,False
5747,Chair,2024-04-06,Hyderabad,234,6.04,0,0,1,Kolkata,309,3,51,2,Bangalore,54.35,83.96,23.77,78,4.73,0.51,False,False,True,False,False
9141,T-Shirt,2024-02-02,Kolkata,84,37.49,1,1,1,Bangalore,910,13,169,8,Kolkata,69.51,59.34,34.78,456,19.24,1.69,False,True,False,False,False
9141,T-Shirt,2024-02-02,Kolkata,84,37.49,1,1,1,Kolkata,79,0,79,12,Kolkata,69.51,59.34,34.78,456,19.24,1.69,False,True,False,False,False
9801,Laptop,2024-03-23,Pune,369,11.71,0,0,2,Kolkata,318,0,125,2,Kolkata,41.05,48.32,9.67,352,19.52,0.73,True,False,False,False,False
9222,Washing Machine,2024-08-18,Mumbai,477,26.71,0,0,1,Ahmedabad,207,15,92,7,Bangalore,32.83,13.64,26.12,202,6.22,1.85,False,False,False,False,True
9222,Washing Machine,2024-08-18,Mumbai,477,26.71,0,0,1,Ahmedabad,207,15,92,7,Bangalore,46.81,90.65,37.25,416,18.21,0.5,False,False,False,False,True
9222,Washing Machine,2024-08-18,Mumbai,477,26.71,0,0,1,Kolkata,72,2,72,8,Bangalore,32.83,13.64,26.12,202,6.22,1.85,False,False,False,False,True
9222,Washing Machine,2024-08-18,Mumbai,477,26.71,0,0,1,Kolkata,72,2,72,8,Bangalore,46.81,90.65,37.25,416,18.21,0.5,False,False,False,False,True
8158,Snacks,2024-10-15,Kolkata,441,52.73,0,0,2,Kolkata,707,7,147,7,Chennai,52.73,23.76,32.82,430,2.16,1.41,False,False,False,True,False
8688,Snacks,2024-01-06,Delhi,163,28.46,0,2,2,Delhi,915,19,106,3,Bangalore,28.46,27.62,28.46,252,1.62,2.45,False,False,False,True,False
2230,Microwave,2024-09-05,Chennai,233,40.71,1,1,2,Hyderabad,399,5,119,13,Delhi,68.29,14.3,39.55,112,10.0,1.31,False,False,False,False,True
2100,Mixer,2024-11-30,Mumbai,348,25.31,1,2,0,Kolkata,384,13,192,6,Hyderabad,87.2,23.28,6.49,342,11.64,2.43,False,False,False,False,True
2100,Mixer,2024-11-30,Mumbai,348,25.31,1,2,0,Mumbai,627,18,178,2,Hyderabad,87.2,23.28,6.49,342,11.64,2.43,False,False,False,False,True
2997,Jeans,2024-11-07,Mumbai,343,12.33,0,2,2,Ahmedabad,931,5,197,5,Ahmedabad,37.75,66.67,31.88,365,2.44,0.84,False,True,False,False,False
2997,Jeans,2024-11-07,Mumbai,343,12.33,0,2,2,Ahmedabad,931,5,197,5,Pune,48.53,68.9,37.12,69,9.31,1.05,False,True,False,False,False
6545,Sofa,2024-04-25,Pune,352,6.65,0,2,2,Kolkata,987,9,61,9,Ahmedabad,6.65,83.83,6.65,341,4.18,1.02,False,False,True,False,False
6545,Sofa,2024-04-25,Pune,352,66.21,0,2,2,Kolkata,987,9,61,9,Bangalore,94.44,8.99,23.84,197,14.68,0.92,False,False,True,False,False
6545,Sofa,2024-04-25,Pune,352,6.65,0,2,2,Ahmedabad,223,13,127,12,Ahmedabad,6.65,83.83,6.65,341,4.18,1.02,False,False,True,False,False
6545,Sofa,2024-04-25,Pune,352,66.21,0,2,2,Ahmedabad,223,13,127,12,Bangalore,94.44,8.99,23.84,197,14.68,0.92,False,False,True,False,False
6545,Sofa,2024-04-25,Pune,352,6.65,0,2,2,Chennai,7,4,7,6,Ahmedabad,6.65,83.83,6.65,341,4.18,1.02,False,False,True,False,False
6545,Sofa,2024-04-25,Pune,352,66.21,0,2,2,Chennai,7,4,7,6,Bangalore,94.44,8.99,23.84,197,14.68,0.92,False,False,True,False,False
8758,Rice,2024-07-25,Pune,119,5.43,0,1,1,Chennai,649,7,106,7,Hyderabad,63.6,94.55,18.39,265,1.1,0.55,False,False,False,True,False
1320,Rice,2024-10-01,Ahmedabad,187,48.7,0,1,1,Ahmedabad,119,17,62,3,Kolkata,50.33,9.21,34.05,54,9.86,1.1,False,False,False,True,False
1320,Rice,2024-10-01,Ahmedabad,187,48.7,0,1,1,Ahmedabad,474,3,156,7,Kolkata,50.33,9.21,34.05,54,9.86,1.1,False,False,False,True,False
6040,Fan,2024-10-27,Ahmedabad,477,12.3,1,1,2,Ahmedabad,982,3,80,5,Kolkata,12.3,49.97,12.3,25,13.92,0.63,False,False,False,False,True
6040,Fan,2024-10-27,Ahmedabad,477,26.09,1,1,2,Ahmedabad,982,3,80,5,Bangalore,26.09,56.05,26.09,238,17.38,1.94,False,False,False,False,True
6040,Fan,2024-10-27,Ahmedabad,477,12.3,1,1,2,Kolkata,356,17,14,4,Kolkata,12.3,49.97,12.3,25,13.92,0.63,False,False,False,False,True
6040,Fan,2024-10-27,Ahmedabad,477,26.09,1,1,2,Kolkata,356,17,14,4,Bangalore,26.09,56.05,26.09,238,17.38,1.94,False,False,False,False,True
6040,Fan,2024-10-27,Ahmedabad,477,12.3,1,1,2,Hyderabad,596,6,165,1,Kolkata,12.3,49.97,12.3,25,13.92,0.63,False,False,False,False,True
6040,Fan,2024-10-27,Ahmedabad,477,26.09,1,1,2,Hyderabad,596,6,165,1,Bangalore,26.09,56.05,26.09,238,17.38,1.94,False,False,False,False,True
6040,Fan,2024-10-27,Ahmedabad,477,12.3,1,1,2,Chennai,388,7,122,2,Kolkata,12.3,49.97,12.3,25,13.92,0.63,False,False,False,False,True
6040,Fan,2024-10-27,Ahmedabad,477,26.09,1,1,2,Chennai,388,7,122,2,Bangalore,26.09,56.05,26.09,238,17.38,1.94,False,False,False,False,True
3434,Table,2024-01-09,Bangalore,483,9.67,1,2,0,Pune,244,13,136,8,Mumbai,9.67,20.74,9.67,42,9.74,2.19,False,False,True,False,False
6711,Bookshelf,2024-04-30,Bangalore,191,66.42,0,2,2,Hyderabad,833,13,42,7,Pune,66.42,31.76,29.3,469,1.05,0.7,False,False,True,False,False
6711,Bookshelf,2024-04-30,Bangalore,191,36.29,0,2,2,Hyderabad,833,13,42,7,Kolkata,36.29,54.13,31.78,413,8.63,1.12,False,False,True,False,False
6711,Bookshelf,2024-04-30,Bangalore,191,66.42,0,2,2,Kolkata,966,4,199,1,Pune,66.42,31.76,29.3,469,1.05,0.7,False,False,True,False,False
6711,Bookshelf,2024-04-30,Bangalore,191,36.29,0,2,2,Kolkata,966,4,199,1,Kolkata,36.29,54.13,31.78,413,8.63,1.12,False,False,True,False,False
2355,Laptop,2024-03-10,Hyderabad,371,23.14,0,1,1,Bangalore,360,9,104,10,Mumbai,23.14,28.83,8.85,488,16.01,1.02,True,False,False,False,False
2355,Laptop,2024-03-10,Hyderabad,371,29.77,0,1,1,Bangalore,360,9,104,10,Chennai,29.77,43.34,29.77,203,9.81,2.3,True,False,False,False,False
2355,Laptop,2024-03-10,Hyderabad,371,23.14,0,1,1,Ahmedabad,513,12,82,6,Mumbai,23.14,28.83,8.85,488,16.01,1.02,True,False,False,False,False
2355,Laptop,2024-03-10,Hyderabad,371,29.77,0,1,1,Ahmedabad,513,12,82,6,Chennai,29.77,43.34,29.77,203,9.81,2.3,True,False,False,False,False
2355,Laptop,2024-03-10,Hyderabad,371,23.14,0,1,1,Chennai,271,3,46,3,Mumbai,23.14,28.83,8.85,488,16.01,1.02,True,False,False,False,False
2355,Laptop,2024-03-10,Hyderabad,371,29.77,0,1,1,Chennai,271,3,46,3,Chennai,29.77,43.34,29.77,203,9.81,2.3,True,False,False,False,False
8505,Snacks,2024-06-24,Kolkata,92,50.79,0,0,1,Delhi,495,16,77,12,Bangalore,65.93,82.24,34.7,266,17.36,2.25,False,False,False,True,False
1610,Fan,2024-04-17,Pune,115,49.34,1,1,0,Hyderabad,735,18,150,12,Kolkata,49.34,91.75,18.85,165,12.71,0.87,False,False,False,False,True
1610,Fan,2024-04-17,Pune,115,29.91,1,1,0,Hyderabad,735,18,150,12,Pune,29.91,97.24,1.55,317,11.95,1.19,False,False,False,False,True
3598,Jeans,2024-06-20,Pune,2,17.95,1,0,2,Pune,839,17,19,3,Mumbai,17.95,87.01,17.95,474,2.43,0.82,False,True,False,False,False
8166,Laptop,2024-07-21,Mumbai,154,37.31,0,2,2,Bangalore,114,3,114,4,Pune,37.31,36.98,12.64,359,9.22,2.23,True,False,False,False,False
8166,Laptop,2024-07-21,Mumbai,154,37.31,0,2,2,Mumbai,263,14,110,4,Pune,37.31,36.98,12.64,359,9.22,2.23,True,False,False,False,False
6295,Rice,2024-01-15,Mumbai,232,12.37,1,0,2,Ahmedabad,121,11,91,7,Ahmedabad,40.84,8.83,40.84,332,6.57,1.34,False,False,False,True,False
6295,Rice,2024-01-15,Mumbai,232,12.37,1,0,2,Ahmedabad,121,11,91,7,Mumbai,98.84,97.6,24.81,488,13.55,2.12,False,False,False,True,False
5877,Chair,2024-02-01,Chennai,59,28.75,1,1,2,Ahmedabad,367,10,171,7,Mumbai,72.21,48.51,11.92,316,13.12,2.43,False,False,True,False,False
5877,Chair,2024-02-01,Chennai,59,28.75,1,1,2,Ahmedabad,367,10,171,7,Mumbai,42.78,53.91,12.97,142,2.62,1.56,False,False,True,False,False
5877,Chair,2024-02-01,Chennai,59,28.75,1,1,2,Chennai,499,7,198,5,Mumbai,72.21,48.51,11.92,316,13.12,2.43,False,False,True,False,False
5877,Chair,2024-02-01,Chennai,59,28.75,1,1,2,Chennai,499,7,198,5,Mumbai,42.78,53.91,12.97,142,2.62,1.56,False,False,True,False,False
2226,Monitor,2024-05-01,Mumbai,314,23.49,1,2,2,Bangalore,22,16,22,4,Hyderabad,23.49,41.06,7.43,214,8.23,2.21,True,False,False,False,False
3547,Coffee,2024-04-12,Bangalore,24,11.63,0,2,2,Chennai,127,4,127,1,Ahmedabad,37.98,14.44,37.98,337,19.83,1.61,False,False,False,True,False
3547,Coffee,2024-04-12,Bangalore,24,11.63,0,2,2,Mumbai,451,2,138,9,Ahmedabad,37.98,14.44,37.98,337,19.83,1.61,False,False,False,True,False
3547,Coffee,2024-04-12,Bangalore,24,11.63,0,2,2,Pune,556,8,88,14,Ahmedabad,37.98,14.44,37.98,337,19.83,1.61,False,False,False,True,False
6000,Table,2024-05-29,Delhi,17,45.58,0,2,0,Hyderabad,581,16,17,4,Hyderabad,55.19,29.64,17.36,386,4.18,1.04,False,False,True,False,False
6000,Table,2024-05-29,Delhi,17,45.58,0,2,0,Ahmedabad,201,16,188,1,Hyderabad,55.19,29.64,17.36,386,4.18,1.04,False,False,True,False,False
3166,Sofa,2024-11-03,Mumbai,169,83.87,1,1,0,Bangalore,879,17,28,3,Ahmedabad,95.67,43.4,24.62,329,16.29,1.37,False,False,True,False,False
3166,Sofa,2024-11-03,Mumbai,169,64.23,1,1,0,Bangalore,879,17,28,3,Hyderabad,64.23,33.26,12.75,413,17.5,0.95,False,False,True,False,False
3166,Sofa,2024-11-03,Mumbai,169,83.87,1,1,0,Delhi,280,8,127,14,Ahmedabad,95.67,43.4,24.62,329,16.29,1.37,False,False,True,False,False
3166,Sofa,2024-11-03,Mumbai,169,64.23,1,1,0,Delhi,280,8,127,14,Hyderabad,64.23,33.26,12.75,413,17.5,0.95,False,False,True,False,False
4467,T-Shirt,2024-08-04,Mumbai,389,39.67,1,0,2,Chennai,617,18,93,13,Delhi,98.94,31.19,36.44,120,2.26,1.95,False,True,False,False,False
4467,T-Shirt,2024-08-04,Mumbai,389,20.49,1,0,2,Chennai,617,18,93,13,Hyderabad,20.49,19.07,4.44,72,18.04,1.77,False,True,False,False,False
4467,T-Shirt,2024-08-04,Mumbai,389,39.67,1,0,2,Ahmedabad,380,12,14,9,Delhi,98.94,31.19,36.44,120,2.26,1.95,False,True,False,False,False
4467,T-Shirt,2024-08-04,Mumbai,389,20.49,1,0,2,Ahmedabad,380,12,14,9,Hyderabad,20.49,19.07,4.44,72,18.04,1.77,False,True,False,False,False
3698,Bookshelf,2024-02-05,Kolkata,454,60.5,1,1,1,Bangalore,480,12,48,9,Pune,60.5,12.65,19.69,364,9.6,2.13,False,False,True,False,False
4986,Bread,2024-11-20,Ahmedabad,255,35.99,0,2,1,Bangalore,177,4,177,13,Mumbai,35.99,32.11,32.49,414,13.36,0.77,False,False,False,True,False
4986,Bread,2024-11-20,Ahmedabad,255,35.99,0,2,1,Ahmedabad,461,13,100,4,Mumbai,35.99,32.11,32.49,414,13.36,0.77,False,False,False,True,False
4986,Bread,2024-11-20,Ahmedabad,255,35.99,0,2,1,Ahmedabad,309,12,112,11,Mumbai,35.99,32.11,32.49,414,13.36,0.77,False,False,False,True,False
6598,Monitor,2024-03-08,Kolkata,388,78.17,1,2,2,Mumbai,901,10,164,3,Kolkata,86.38,61.56,35.67,344,0.19,2.14,True,False,False,False,False
6598,Monitor,2024-03-08,Kolkata,388,62.76,1,2,2,Mumbai,901,10,164,3,Mumbai,62.76,27.14,39.09,68,12.48,1.75,True,False,False,False,False
6598,Monitor,2024-03-08,Kolkata,388,78.17,1,2,2,Hyderabad,531,18,22,2,Kolkata,86.38,61.56,35.67,344,0.19,2.14,True,False,False,False,False
6598,Monitor,2024-03-08,Kolkata,388,62.76,1,2,2,Hyderabad,531,18,22,2,Mumbai,62.76,27.14,39.09,68,12.48,1.75,True,False,False,False,False
6898,Coffee,2024-07-09,Delhi,177,22.81,1,2,1,Pune,574,9,77,10,Hyderabad,44.45,56.9,11.69,411,16.7,1.6,False,False,False,True,False
1395,Table,2024-12-11,Chennai,342,23.41,0,0,2,Hyderabad,141,6,141,10,Mumbai,79.4,13.71,33.04,481,12.51,1.1,False,False,True,False,False
1395,Table,2024-12-11,Chennai,342,23.41,0,0,2,Hyderabad,141,6,141,10,Chennai,93.13,47.85,0.02,241,1.27,1.19,False,False,True,False,False
1395,Table,2024-12-11,Chennai,342,23.41,0,0,2,Chennai,161,17,41,5,Mumbai,79.4,13.71,33.04,481,12.51,1.1,False,False,True,False,False
1395,Table,2024-12-11,Chennai,342,23.41,0,0,2,Chennai,161,17,41,5,Chennai,93.13,47.85,0.02,241,1.27,1.19,False,False,True,False,False
3386,Hoodie,2024-06-29,Mumbai,38,5.3,1,1,0,Mumbai,114,12,114,1,Hyderabad,26.34,35.39,26.34,419,6.66,2.13,False,True,False,False,False
3386,Hoodie,2024-06-29,Mumbai,38,5.3,1,1,0,Mumbai,114,12,114,1,Hyderabad,69.18,85.97,5.8,361,3.0,2.32,False,True,False,False,False
3386,Hoodie,2024-06-29,Mumbai,38,5.3,1,1,0,Mumbai,114,12,114,1,Kolkata,20.76,21.15,5.37,399,6.33,2.31,False,True,False,False,False
1912,Snacks,2024-07-09,Kolkata,147,89.24,1,0,1,Hyderabad,51,3,43,5,Chennai,97.13,9.16,23.56,141,4.22,2.36,False,False,False,True,False
1912,Snacks,2024-07-09,Kolkata,147,44.04,1,0,1,Hyderabad,51,3,43,5,Bangalore,44.04,60.64,44.04,421,5.96,1.17,False,False,False,True,False
1912,Snacks,2024-07-09,Kolkata,147,54.36,1,0,1,Hyderabad,51,3,43,5,Mumbai,54.36,5.89,6.56,23,17.7,1.45,False,False,False,True,False
7099,Bookshelf,2024-12-05,Delhi,444,20.67,0,0,0,Kolkata,859,14,52,11,Chennai,20.67,59.97,20.67,184,2.69,1.31,False,False,True,False,False
1879,Bookshelf,2024-08-27,Delhi,135,15.49,0,0,0,Kolkata,520,6,78,11,Hyderabad,15.49,56.81,15.49,328,7.28,2.3,False,False,True,False,False
1879,Bookshelf,2024-08-27,Delhi,135,13.94,0,0,0,Kolkata,520,6,78,11,Ahmedabad,13.94,56.39,13.94,141,0.8,0.94,False,False,True,False,False
3015,T-Shirt,2024-03-07,Delhi,174,48.86,0,2,2,Ahmedabad,983,7,142,14,Pune,75.1,49.18,2.0,146,10.92,0.68,False,True,False,False,False
3462,Jeans,2024-01-24,Kolkata,93,17.09,1,2,0,Kolkata,896,18,148,10,Hyderabad,17.09,66.71,3.23,58,9.13,1.86,False,True,False,False,False
8413,T-Shirt,2024-11-24,Ahmedabad,165,23.76,0,0,1,Bangalore,845,13,141,5,Ahmedabad,37.97,22.82,5.75,131,4.82,1.98,False,True,False,False,False
4762,Chair,2024-07-02,Ahmedabad,47,34.21,0,0,0,Pune,105,7,105,12,Kolkata,34.21,91.72,22.78,41,0.67,1.26,False,False,True,False,False
4762,Chair,2024-07-02,Ahmedabad,47,34.21,0,0,0,Chennai,900,7,83,1,Kolkata,34.21,91.72,22.78,41,0.67,1.26,False,False,True,False,False
6215,Jeans,2024-07-02,Mumbai,480,12.61,1,1,2,Kolkata,167,19,56,14,Kolkata,12.61,59.79,8.77,324,11.21,0.86,False,True,False,False,False
4711,Sofa,2024-11-24,Kolkata,164,74.09,0,1,2,Hyderabad,744,16,107,13,Mumbai,74.09,55.23,39.72,262,17.8,0.9,False,False,True,False,False
4711,Sofa,2024-11-24,Kolkata,164,35.44,0,1,2,Hyderabad,744,16,107,13,Kolkata,35.44,48.26,35.44,196,4.74,1.97,False,False,True,False,False
4711,Sofa,2024-11-24,Kolkata,164,26.21,0,1,2,Hyderabad,744,16,107,13,Ahmedabad,26.21,48.23,25.06,228,13.92,1.46,False,False,True,False,False
7520,Washing Machine,2024-01-22,Ahmedabad,357,34.69,0,0,2,Kolkata,705,1,192,5,Kolkata,34.69,30.03,3.47,417,6.34,2.18,False,False,False,False,True
7520,Washing Machine,2024-01-22,Ahmedabad,357,78.61,0,0,2,Kolkata,705,1,192,5,Hyderabad,78.61,75.62,4.07,370,13.74,2.04,False,False,False,False,True
7520,Washing Machine,2024-01-22,Ahmedabad,357,34.69,0,0,2,Chennai,883,4,27,9,Kolkata,34.69,30.03,3.47,417,6.34,2.18,False,False,False,False,True
7520,Washing Machine,2024-01-22,Ahmedabad,357,78.61,0,0,2,Chennai,883,4,27,9,Hyderabad,78.61,75.62,4.07,370,13.74,2.04,False,False,False,False,True
7520,Washing Machine,2024-01-22,Ahmedabad,357,34.69,0,0,2,Ahmedabad,745,14,181,9,Kolkata,34.69,30.03,3.47,417,6.34,2.18,False,False,False,False,True
7520,Washing Machine,2024-01-22,Ahmedabad,357,78.61,0,0,2,Ahmedabad,745,14,181,9,Hyderabad,78.61,75.62,4.07,370,13.74,2.04,False,False,False,False,True
2964,Laptop,2024-07-14,Hyderabad,24,24.43,1,2,1,Ahmedabad,811,9,18,1,Ahmedabad,24.43,64.65,6.89,30,11.79,1.8,True,False,False,False,False
8799,Milk,2024-03-10,Ahmedabad,255,12.74,1,0,2,Kolkata,700,6,164,10,Bangalore,12.74,41.78,7.88,64,13.11,0.53,False,False,False,True,False
1411,Chair,2024-05-08,Ahmedabad,30,31.16,1,0,2,Bangalore,635,2,173,1,Ahmedabad,35.7,15.79,35.46,289,3.93,1.87,False,False,True,False,False
