,Product Name,Date,Online Store Location,Sales Quantity,Selling Price,Promotions,Demand Trend,Customer Segments,Warehouse Location,Stock Levels,Stockout Frequency,Reorder Point,Order Fulfillment Time (days),Retail Store Location,Market Price,Competitor Prices,Discounts,Return Rate (%),Category,Total Sales,Inventory Recommendation,Month
58,Snacks,2024-01-06,Delhi,163,28.46,No,Stable,Regular,Delhi,915,19,106,3,Bangalore,28.46,27.62,28.46,1.62,Groceries,4638.9800000000005,Maintain Stock,January
59,Microwave,2024-09-05,Chennai,233,40.71,Yes,Increasing,Regular,Hyderabad,399,5,119,13,Delhi,68.29,14.3,39.55,10.0,Home Appliances,9485.43,Maintain Stock,September
60,Mixer,2024-11-30,Mumbai,348,25.31,Yes,Stable,Budget,Kolkata,384,13,192,6,Hyderabad,87.2,23.28,6.49,11.64,Home Appliances,8807.88,Maintain Stock,November
61,Mixer,2024-11-30,Mumbai,348,25.31,Yes,Stable,Budget,Mumbai,627,18,178,2,Hyderabad,87.2,23.28,6.49,11.64,Home Appliances,8807.88,Maintain Stock,November
62,Jeans,2024-11-07,Mumbai,343,12.33,No,Stable,Regular,Ahmedabad,931,5,197,5,Ahmedabad,37.75,66.67,31.88,2.44,Fashion,4229.19,Maintain Stock,November
63,Jeans,2024-11-07,Mumbai,343,12.33,No,Stable,Regular,Ahmedabad,931,5,197,5,Pune,48.53,68.9,37.12,9.31,Fashion,4229.19,Maintain Stock,November
64,Sofa,2024-04-25,Pune,352,6.65,No,Stable,Regular,Kolkata,987,9,61,9,Ahmedabad,6.65,83.83,6.65,4.18,Furniture,2340.8,Maintain Stock,April
65,Sofa,2024-04-25,Pune,352,66.21,No,Stable,Regular,Kolkata,987,9,61,9,Bangalore,94.44,8.99,23.84,14.68,Furniture,23305.92,Maintain Stock,April
66,Sofa,2024-04-25,Pune,352,6.65,No,Stable,Regular,Ahmedabad,223,13,127,12,Ahmedabad,6.65,83.83,6.65,4.18,Furniture,2340.8,Maintain Stock,April
67,Sofa,2024-04-25,Pune,352,66.21,No,Stable,Regular,Ahmedabad,223,13,127,12,Bangalore,94.44,8.99,23.84,14.68,Furniture,23305.92,Maintain Stock,April
68,Sofa,2024-04-25,Pune,352,6.65,No,Stable,Regular,Chennai,7,4,7,6,Ahmedabad,6.65,83.83,6.65,4.18,Furniture,2340.8,Maintain Stock,April
69,Sofa,2024-04-25,Pune,352,66.21,No,Stable,Regular,Chennai,7,4,7,6,Bangalore,94.44,8.99,23.84,14.68,Furniture,23305.92,Maintain Stock,April
70,Rice,2024-07-25,Pune,119,5.43,No,Increasing,Premium,Chennai,649,7,106,7,Hyderabad,63.6,94.55,18.39,1.1,Groceries,646.17,Reduce Stock,July
71,Rice,2024-10-01,Ahmedabad,187,48.7,No,Increasing,Premium,Ahmedabad,119,17,62,3,Kolkata,50.33,9.21,34.05,9.86,Groceries,9106.9,Maintain Stock,October
72,Rice,2024-10-01,Ahmedabad,187,48.7,No,Increasing,Premium,Ahmedabad,474,3,156,7,Kolkata,50.33,9.21,34.05,9.86,Groceries,9106.9,Maintain Stock,October
73,Fan,2024-10-27,Ahmedabad,477,12.3,Yes,Increasing,Regular,Ahmedabad,982,3,80,5,Kolkata,12.3,49.97,12.3,13.92,Home Appliances,5867.1,Maintain Stock,October
74,Fan,2024-10-27,Ahmedabad,477,26.09,Yes,Increasing,Regular,Ahmedabad,982,3,80,5,Bangalore,26.09,56.05,26.09,17.38,Home Appliances,12444.93,Maintain Stock,October
75,Fan,2024-10-27,Ahmedabad,477,12.3,Yes,Increasing,Regular,Kolkata,356,17,14,4,Kolkata,12.3,49.97,12.3,13.92,Home Appliances,5867.1,Maintain Stock,October
76,Fan,2024-10-27,Ahmedabad,477,26.09,Yes,Increasing,Regular,Kolkata,356,17,14,4,Bangalore,26.09,56.05,26.09,17.38,Home Appliances,12444.93,Maintain Stock,October
77,Fan,2024-10-27,Ahmedabad,477,12.3,Yes,Increasing,Regular,Hyderabad,596,6,165,1,Kolkata,12.3,49.97,12.3,13.92,Home Appliances,5867.1,Maintain Stock,October
78,Fan,2024-10-27,Ahmedabad,477,26.09,Yes,Increasing,Regular,Hyderabad,596,6,165,1,Bangalore,26.09,56.05,26.09,17.38,Home Appliances,12444.93,Maintain Stock,October
79,Fan,2024-10-27,Ahmedabad,477,12.3,Yes,Increasing,Regular,Chennai,388,7,122,2,Kolkata,12.3,49.97,12.3,13.92,Home Appliances,5867.1,Maintain Stock,October
80,Fan,2024-10-27,Ahmedabad,477,26.09,Yes,Increasing,Regular,Chennai,388,7,122,2,Bangalore,26.09,56.05,26.09,17.38,Home Appliances,12444.93,Maintain Stock,October
81,Table,2024-01-09,Bangalore,483,9.67,Yes,Stable,Budget,Pune,244,13,136,8,Mumbai,9.67,20.74,9.67,9.74,Furniture,4670.61,Maintain Stock,January
82,Bookshelf,2024-04-30,Bangalore,191,66.42,No,Stable,Regular,Hyderabad,833,13,42,7,Pune,66.42,31.76,29.3,1.05,Furniture,12686.220000000001,Maintain Stock,April
83,Bookshelf,2024-04-30,Bangalore,191,36.29,No,Stable,Regular,Hyderabad,833,13,42,7,Kolkata,36.29,54.13,31.78,8.63,Furniture,6931.389999999999,Maintain Stock,April
84,Bookshelf,2024-04-30,Bangalore,191,66.42,No,Stable,Regular,Kolkata,966,4,199,1,Pune,66.42,31.76,29.3,1.05,Furniture,12686.220000000001,Maintain Stock,April
85,Bookshelf,2024-04-30,Bangalore,191,36.29,No,Stable,Regular,Kolkata,966,4,199,1,Kolkata,36.29,54.13,31.78,8.63,Furniture,6931.389999999999,Maintain Stock,April
86,Laptop,2024-03-10,Hyderabad,371,23.14,No,Increasing,Premium,Bangalore,360,9,104,10,Mumbai,23.14,28.83,8.85,16.01,Electronics,8584.94,Maintain Stock,March
87,Laptop,2024-03-10,Hyderabad,371,29.77,No,Increasing,Premium,Bangalore,360,9,104,10,Chennai,29.77,43.34,29.77,9.81,Electronics,11044.67,Maintain Stock,March
88,Laptop,2024-03-10,Hyderabad,371,23.14,No,Increasing,Premium,Ahmedabad,513,12,82,6,Mumbai,23.14,28.83,8.85,16.01,Electronics,8584.94,Maintain Stock,March
89,Laptop,2024-03-10,Hyderabad,371,29.77,No,Increasing,Premium,Ahmedabad,513,12,82,6,Chennai,29.77,43.34,29.77,9.81,Electronics,11044.67,Maintain Stock,March
90,Laptop,2024-03-10,Hyderabad,371,23.14,No,Increasing,Premium,Chennai,271,3,46,3,Mumbai,23.14,28.83,8.85,16.01,Electronics,8584.94,Maintain Stock,March
91,Laptop,2024-03-10,Hyderabad,371,29.77,No,Increasing,Premium,Chennai,271,3,46,3,Chennai,29.77,43.34,29.77,9.81,Electronics,11044.67,Maintain Stock,March
92,Snacks,2024-06-24,Kolkata,92,50.79,No,Decreasing,Premium,Delhi,495,16,77,12,Bangalore,65.93,82.24,34.7,17.36,Groceries,4672.68,Reduce Stock,June
93,Fan,2024-04-17,Pune,115,49.34,Yes,Increasing,Budget,Hyderabad,735,18,150,12,Kolkata,49.34,91.75,18.85,12.71,Home Appliances,5674.1,Reduce Stock,April
94,Fan,2024-04-17,Pune,115,29.91,Yes,Increasing,Budget,Hyderabad,735,18,150,12,Pune,29.91,97.24,1.55,11.95,Home Appliances,3439.65,Reduce Stock,April
95,Jeans,2024-06-20,Pune,2,17.95,Yes,Decreasing,Regular,Pune,839,17,19,3,Mumbai,17.95,87.01,17.95,2.43,Fashion,35.9,Reduce Stock,June
96,Laptop,2024-07-21,Mumbai,154,37.31,No,Stable,Regular,Bangalore,114,3,114,4,Pune,37.31,36.98,12.64,9.22,Electronics,5745.740000000001,Maintain Stock,July
97,Laptop,2024-07-21,Mumbai,154,37.31,No,Stable,Regular,Mumbai,263,14,110,4,Pune,37.31,36.98,12.64,9.22,Electronics,5745.740000000001,Maintain Stock,July
98,Rice,2024-01-15,Mumbai,232,12.37,Yes,Decreasing,Regular,Ahmedabad,121,11,91,7,Ahmedabad,40.84,8.83,40.84,6.57,Groceries,2869.8399999999997,Maintain Stock,January
99,Rice,2024-01-15,Mumbai,232,12.37,Yes,Decreasing,Regular,Ahmedabad,121,11,91,7,Mumbai,98.84,97.6,24.81,13.55,Groceries,2869.8399999999997,Maintain Stock,January
100,Chair,2024-02-01,Chennai,59,28.75,Yes,Increasing,Regular,Ahmedabad,367,10,171,7,Mumbai,72.21,48.51,11.92,13.12,Furniture,1696.25,Reduce Stock,February
101,Chair,2024-02-01,Chennai,59,28.75,Yes,Increasing,Regular,Ahmedabad,367,10,171,7,Mumbai,42.78,53.91,12.97,2.62,Furniture,1696.25,Reduce Stock,February
102,Chair,2024-02-01,Chennai,59,28.75,Yes,Increasing,Regular,Chennai,499,7,198,5,Mumbai,72.21,48.51,11.92,13.12,Furniture,1696.25,Reduce Stock,February
103,Chair,2024-02-01,Chennai,59,28.75,Yes,Increasing,Regular,Chennai,499,7,198,5,Mumbai,42.78,53.91,12.97,2.62,Furniture,1696.25,Reduce Stock,February
104,Monitor,2024-05-01,Mumbai,314,23.49,Yes,Stable,Regular,Bangalore,22,16,22,4,Hyderabad,23.49,41.06,7.43,8.23,Electronics,7375.86,Maintain Stock,May
105,Coffee,2024-04-12,Bangalore,24,11.63,No,Stable,Regular,Chennai,127,4,127,1,Ahmedabad,37.98,14.44,37.98,19.83,Groceries,279.12,Maintain Stock,April
106,Coffee,2024-04-12,Bangalore,24,11.63,No,Stable,Regular,Mumbai,451,2,138,9,Ahmedabad,37.98,14.44,37.98,19.83,Groceries,279.12,Reduce Stock,April
107,Coffee,2024-04-12,Bangalore,24,11.63,No,Stable,Regular,Pune,556,8,88,14,Ahmedabad,37.98,14.44,37.98,19.83,Groceries,279.12,Reduce Stock,April
108,Table,2024-05-29,Delhi,17,45.58,No,Stable,Budget,Hyderabad,581,16,17,4,Hyderabad,55.19,29.64,17.36,4.18,Furniture,774.86,Reduce Stock,May
109,Table,2024-05-29,Delhi,17,45.58,No,Stable,Budget,Ahmedabad,201,16,188,1,Hyderabad,55.19,29.64,17.36,4.18,Furniture,774.86,Maintain Stock,May
110,Sofa,2024-11-03,Mumbai,169,83.87,Yes,Increasing,Budget,Bangalore,879,17,28,3,Ahmedabad,95.67,43.4,24.62,16.29,Furniture,14174.03,Maintain Stock,November
111,Sofa,2024-11-03,Mumbai,169,64.23,Yes,Increasing,Budget,Bangalore,879,17,28,3,Hyderabad,64.23,33.26,12.75,17.5,Furniture,10854.87,Maintain Stock,November
112,Sofa,2024-11-03,Mumbai,169,83.87,Yes,Increasing,Budget,Delhi,280,8,127,14,Ahmedabad,95.67,43.4,24.62,16.29,Furniture,14174.03,Maintain Stock,November
113,Sofa,2024-11-03,Mumbai,169,64.23,Yes,Increasing,Budget,Delhi,280,8,127,14,Hyderabad,64.23,33.26,12.75,17.5,Furniture,10854.87,Maintain Stock,November
114,T-Shirt,2024-08-04,Mumbai,389,39.67,Yes,Decreasing,Regular,Chennai,617,18,93,13,Delhi,98.94,31.19,36.44,2.26,Fashion,15431.630000000001,Maintain Stock,August
115,T-Shirt,2024-08-04,Mumbai,389,20.49,Yes,Decreasing,Regular,Chennai,617,18,93,13,Hyderabad,20.49,19.07,4.44,18.04,Fashion,7970.61,Maintain Stock,August
116,T-Shirt,2024-08-04,Mumbai,389,39.67,Yes,Decreasing,Regular,Ahmedabad,380,12,14,9,Delhi,98.94,31.19,36.44,2.26,Fashion,15431.630000000001,Maintain Stock,August
117,T-Shirt,2024-08-04,Mumbai,389,20.49,Yes,Decreasing,Regular,Ahmedabad,380,12,14,9,Hyderabad,20.49,19.07,4.44,18.04,Fashion,7970.61,Maintain Stock,August
118,Bookshelf,2024-02-05,Kolkata,454,60.5,Yes,Increasing,Premium,Bangalore,480,12,48,9,Pune,60.5,12.65,19.69,9.6,Furniture,27467.0,Maintain Stock,February
119,Bread,2024-11-20,Ahmedabad,255,35.99,No,Stable,Premium,Bangalore,177,4,177,13,Mumbai,35.99,32.11,32.49,13.36,Groceries,9177.45,Maintain Stock,November
120,Bread,2024-11-20,Ahmedabad,255,35.99,No,Stable,Premium,Ahmedabad,461,13,100,4,Mumbai,35.99,32.11,32.49,13.36,Groceries,9177.45,Maintain Stock,November
121,Bread,2024-11-20,Ahmedabad,255,35.99,No,Stable,Premium,Ahmedabad,309,12,112,11,Mumbai,35.99,32.11,32.49,13.36,Groceries,9177.45,Maintain Stock,November
122,Monitor,2024-03-08,Kolkata,388,78.17,Yes,Stable,Regular,Mumbai,901,10,164,3,Kolkata,86.38,61.56,35.67,0.19,Electronics,30329.96,Maintain Stock,March
123,Monitor,2024-03-08,Kolkata,388,62.76,Yes,Stable,Regular,Mumbai,901,10,164,3,Mumbai,62.76,27.14,39.09,12.48,Electronics,24350.88,Maintain Stock,March
124,Monitor,2024-03-08,Kolkata,388,78.17,Yes,Stable,Regular,Hyderabad,531,18,22,2,Kolkata,86.38,61.56,35.67,0.19,Electronics,30329.96,Maintain Stock,March
125,Monitor,2024-03-08,Kolkata,388,62.76,Yes,Stable,Regular,Hyderabad,531,18,22,2,Mumbai,62.76,27.14,39.09,12.48,Electronics,24350.88,Maintain Stock,March
126,Coffee,2024-07-09,Delhi,177,22.81,Yes,Stable,Premium,Pune,574,9,77,10,Hyderabad,44.45,56.9,11.69,16.7,Groceries,4037.37,Maintain Stock,July
127,Table,2024-12-11,Chennai,342,23.41,No,Decreasing,Regular,Hyderabad,141,6,141,10,Mumbai,79.4,13.71,33.04,12.51,Furniture,8006.22,Maintain Stock,December
128,Table,2024-12-11,Chennai,342,23.41,No,Decreasing,Regular,Hyderabad,141,6,141,10,Chennai,93.13,47.85,0.02,1.27,Furniture,8006.22,Maintain Stock,December
129,Table,2024-12-11,Chennai,342,23.41,No,Decreasing,Regular,Chennai,161,17,41,5,Mumbai,79.4,13.71,33.04,12.51,Furniture,8006.22,Maintain Stock,December
130,Table,2024-12-11,Chennai,342,23.41,No,Decreasing,Regular,Chennai,161,17,41,5,Chennai,93.13,47.85,0.02,1.27,Furniture,8006.22,Maintain Stock,December
131,Hoodie,2024-06-29,Mumbai,38,5.3,Yes,Increasing,Budget,Mumbai,114,12,114,1,Hyderabad,26.34,35.39,26.34,6.66,Fashion,201.4,Maintain Stock,June
132,Hoodie,2024-06-29,Mumbai,38,5.3,Yes,Increasing,Budget,Mumbai,114,12,114,1,Hyderabad,69.18,85.97,5.8,3.0,Fashion,201.4,Maintain Stock,June
133,Hoodie,2024-06-29,Mumbai,38,5.3,Yes,Increasing,Budget,Mumbai,114,12,114,1,Kolkata,20.76,21.15,5.37,6.33,Fashion,201.4,Maintain Stock,June
134,Snacks,2024-07-09,Kolkata,147,89.24,Yes,Decreasing,Premium,Hyderabad,51,3,43,5,Chennai,97.13,9.16,23.56,4.22,Groceries,13118.279999999999,Maintain Stock,July
135,Snacks,2024-07-09,Kolkata,147,44.04,Yes,Decreasing,Premium,Hyderabad,51,3,43,5,Bangalore,44.04,60.64,44.04,5.96,Groceries,6473.88,Maintain Stock,July
136,Snacks,2024-07-09,Kolkata,147,54.36,Yes,Decreasing,Premium,Hyderabad,51,3,43,5,Mumbai,54.36,5.89,6.56,17.7,Groceries,7990.92,Maintain Stock,July
137,Bookshelf,2024-12-05,Delhi,444,20.67,No,Decreasing,Budget,Kolkata,859,14,52,11,Chennai,20.67,59.97,20.67,2.69,Furniture,9177.480000000001,Maintain Stock,December
138,Bookshelf,2024-08-27,Delhi,135,15.49,No,Decreasing,Budget,Kolkata,520,6,78,11,Hyderabad,15.49,56.81,15.49,7.28,Furniture,2091.15,Maintain Stock,August
139,Bookshelf,2024-08-27,Delhi,135,13.94,No,Decreasing,Budget,Kolkata,520,6,78,11,Ahmedabad,13.94,56.39,13.94,0.8,Furniture,1881.8999999999999,Maintain Stock,August
140,T-Shirt,2024-03-07,Delhi,174,48.86,No,Stable,Regular,Ahmedabad,983,7,142,14,Pune,75.1,49.18,2.0,10.92,Fashion,8501.64,Maintain Stock,March
141,Jeans,2024-01-24,Kolkata,93,17.09,Yes,Stable,Budget,Kolkata,896,18,148,10,Hyderabad,17.09,66.71,3.23,9.13,Fashion,1589.37,Reduce Stock,January
142,T-Shirt,2024-11-24,Ahmedabad,165,23.76,No,Decreasing,Premium,Bangalore,845,13,141,5,Ahmedabad,37.97,22.82,5.75,4.82,Fashion,3920.4,Maintain Stock,November
